city;weekday;time
San Francisco;Sun;00:52:00
Las Vegas;Sun;00:52:00
Seattle;Sun;00:52:00
Los Angeles;Sun;00:52:00
Vancouver;Sun;00:52:00
Phoenix;Sun;00:52:00
Chicago;Sun;01:52:00
Dallas;Sun;01:52:00
Salt Lake City;Sun;01:52:00
Denver;Sun;01:52:00
San Salvador;Sun;01:52:00
Edmonton;Sun;01:52:00
Minneapolis;Sun;01:52:00
Houston;Sun;01:52:00
New Orleans;Sun;01:52:00
Winnipeg;Sun;01:52:00
Calgary;Sun;01:52:00
Columbus;Sun;02:52:00
Detroit;Sun;02:52:00
Atlanta;Sun;02:52:00
Miami;Sun;02:52:00
Montreal;Sun;02:52:00
Indianapolis;Sun;02:52:00
Boston;Sun;02:52:00
Toronto;Sun;02:52:00
New York;Sun;02:52:00
Washington DC;Sun;02:52:00
Ottawa;Sun;02:52:00
Philadelphia;Sun;02:52:00
Halifax;Sun;03:52:00
Santiago;Sun;04:52:00
Ṣo Paulo;Sun;05:52:00
Brasilia;Sun;05:52:00
Lisbon;Sun;07:52:00
London;Sun;07:52:00
Dublin;Sun;07:52:00
Casablanca;Sun;07:52:00
Reykjavik;Sun;07:52:00
Copenhagen;Sun;08:52:00
Rome;Sun;08:52:00
Amsterdam;Sun;08:52:00
Madrid;Sun;08:52:00
Frankfurt;Sun;08:52:00
Stockholm;Sun;08:52:00
Barcelona;Sun;08:52:00
Berlin;Sun;08:52:00
Brussels;Sun;08:52:00
Vienna;Sun;08:52:00
Warsaw;Sun;08:52:00
Budapest;Sun;08:52:00
Oslo;Sun;08:52:00
Paris;Sun;08:52:00
Zurich;Sun;08:52:00
Prague;Sun;08:52:00
Athens;Sun;09:52:00
Beirut;Sun;09:52:00
Helsinki;Sun;09:52:00
Jerusalem;Sun;09:52:00
Bucharest;Sun;09:52:00
Johannesburg;Sun;09:52:00
Cairo;Sun;09:52:00
Cape Town;Sun;09:52:00
Riyadh;Sun;10:52:00
Kuwait City;Sun;10:52:00
Ankara;Sun;10:52:00
Moscow;Sun;10:52:00
Istanbul;Sun;10:52:00
Dubai;Sun;11:52:00
Kathmandu;Sun;13:37:00
Shanghai;Sun;15:52:00
Singapore;Sun;15:52:00
Tokyo;Sun;16:52:00
Melbourne;Sun;18:52:00
Sydney;Sun;18:52:00
Auckland;Sun;20:52:00
Anchorage;Sat;23:52:00
